bsu_id,bsu_desc,eco_id,eco_desc,pao_id,pao_desc,spn_id,spn_desc
"ywfO","putative metal-dependent phosphohydrolase",NA,NA,NA,NA,"SP_1290","orf"
"acpS","holo-acyl carrier protein synthase","acpS","",NA,NA,"acpS","4'-phosphopantetheinyl transferase"
"bdbD","thiol-disulfide oxidoreductase",NA,NA,"dsbA","thiol:disulfide interchange protein DsbA",NA,NA
"cysL","regulator of sulfur assimilation CysL, activates cysJI expression","yeiE","LYSR-type transcriptional regulator","PA5382","transcriptional regulator",NA,NA
"citZ","citrate synthase II","prpC","2-methylcitrate synthase","prpC","methylcitrate synthase",NA,NA
"bsaA","putative peroxidase","btuE","thioredoxin/glutathione peroxidase","PA2826","glutathione peroxidase","SP_0313","glutathione peroxidase"
"ssuA","aliphatic sulfonate ABC transporter (binding lipoprotein)","ssuA","aliphatic sulfonate ABC transporter - periplasmic binding protein","PA3445","orf",NA,NA
"yfkJ","protein-tyrosine-phosphatase","etp","phosphotyrosine-protein phosphatase","ptpA","phosphotyrosine protein phosphatase","SP_2028","phosphotyrosine protein phosphatase"
"pfkA","6-phosphofructokinase","pfkA","6-phosphofructokinase-1 monomer",NA,NA,"pfkA","6-phosphofructokinase"
"sodA","superoxide dismutase","sodA","","sodM","superoxide dismutase","SP_0766","superoxide dismutase, manganese-dependent"
"xylB","xylulose kinase","xylB","xylulokinase","mtlY","xylulose kinase",NA,NA
"yrbG","conserved hypothetical protein",NA,NA,NA,NA,"SP_1841","orf"
"yocD","putative carboxypeptidase",NA,NA,NA,NA,"SP_0182","methylcrotonoyl-CoA carboxylase"
"yitF","putative enolase superfamily enzyme",NA,NA,"PA2215","orf",NA,NA
"sftA","DNA translocase stage III sporulation protein (modular protein)","ftsK","essential cell division protein FtsK",NA,NA,NA,NA
"htpX","membrane protease","htpX","heat shock protein, integral membrane protein","htpX","heat shock protein HtpX","SP_1283","heat shock protein HtpX"
"ylbG","conserved hypothetical protein",NA,NA,NA,NA,"SP_0748","orf"
"yncF","putative deoxyuridine 5'-triphosphate pyrophosphatase","dut","","dut","deoxyuridine 5'-triphosphate nucleotidohydrolase",NA,NA
"rtbI","putative ATP-dependent nucleic acid helicase","recQ","ATP-dependent DNA helicase","recQ","ATP-dependent DNA helicase RecQ",NA,NA
"yyaJ","putative transporter","ydjE","YdjE  MFS transporter",NA,NA,NA,NA
"hxlR","positive regulator of hxlAB expression","ytfH","predicted transcriptional regulator",NA,NA,NA,NA
"lipA","lipoyl synthase (lipoic acid synthetase)","lipA","lipoate synthase monomer","lis","lipoyl synthase",NA,NA
"yflL","acylphosphatase","yccX","acylphosphatase","PA0954","acylphosphatase","SP_1974","acylphosphatase"
"yhcS","sortase",NA,NA,NA,NA,"SP_0467","sortase"
"ywcJ","formate/nitrite transporter","nirC","nitrite transporter NirC",NA,NA,"SP_1215","FNT family protein"
"menD","2-oxoglutarate decarboxylase and 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","menD","",NA,NA,NA,NA
"srfAD","surfactin synthetase",NA,NA,"pchC","pyochelin biosynthetic protein PchC",NA,NA
"yunE","putative integral inner membrane protein",NA,NA,"PA0340","orf",NA,NA
"tuaC","putative glycosyltransferase",NA,NA,"PA4311","orf",NA,NA
"recU","Holliday junction resolvase",NA,NA,NA,NA,"recU","Holliday junction-specific endonuclease"
"radC","putative DNA repair protein","yicR","hypothetical protein","radC","DNA repair protein RadC","radC","DNA repair protein RadC"
"ytcB","putative UDP-glucose epimerase",NA,NA,"PA4068","epimerase",NA,NA
"asnS","asparaginyl-tRNA synthetase","asnS","asparaginyl-tRNA synthetase",NA,NA,"asnC","asparaginyl-tRNA synthetase"
"yrkF","putative rhodanese-related sulfur transferase","tusA","sulfur transfer protein",NA,NA,NA,NA
"valS","valyl-tRNA synthetase","valS","valyl-tRNA synthetase","valS","valyl-tRNA synthetase","valS","valyl-tRNA synthetase"
"uxuA","D-mannonate dehydratase","uxuA","D-mannonate dehydratase",NA,NA,NA,NA
"pyrH","uridylate kinase","pyrH","UMP kinase","pyrH","uridylate kinase","pyrH","uridylate kinase"
"murC","UDP-N-acetyl muramate-alanine ligase","murC","UDP","murC","UDP-N-acetylmuramate--L-alanine ligase","murC","UDP-N-acetylmuramate--L-alanine ligase"
"plsY","acylphosphate:glycerol-3-phosphate acyltransferase","ygiH","conserved inner membrane protein","PA0581","glycerol-3-phosphate acyltransferase PlsY","SP_0851","glycerol-3-phosphate acyltransferase PlsY"
"yisR","putative transcriptional regulator (AraC/XylS family)","araC","",NA,NA,"SP_1899","msm operon regulatory protein"
"bltR","transcriptional regulator",NA,NA,"PA4878","transcriptional regulator",NA,NA
"uxaA","altronate hydrolase","uxaA","D-altronate dehydratase",NA,NA,NA,NA
"ybfP","putative transcriptional regulator (AraC/XylS family)","rob","Rob DNA-binding transcriptional activator",NA,NA,NA,NA
"rseP","inner membrane zinc metalloprotease required for the extracytoplasmic stress response mediated by sigma(E) (YaeL)","rseP","RseP zinc protease, signal peptide peptidase","PA3649","orf","SP_0263","eep protein"
"yulE","L-rhamnose isomerase","rhaA","L-rhamnose isomerase",NA,NA,NA,NA
"yozV","putative phage protein",NA,NA,"PA0825","orf",NA,NA
"dusB","tRNA-dihydrouridine synthase B","dusB","tRNA-dihydrouridine synthase B","PA4852","orf","SP_2189","NifR3 family TIM-barrel protein"
"tlpB","methyl-accepting chemotaxis protein","tsr","",NA,NA,NA,NA
"flgL","flagellar hook-filament junction","flgL","flagellar biosynthesis; hook-filament junction protein","flgL","flagellar hook-associated protein FlgL",NA,NA
"acoR","transcriptional regulator","ygeV","putative transcriptional regulator","fleQ","transcriptional regulator FleQ",NA,NA
"clpC","class III stress response-related ATPase, AAA+ superfamily","clpB","ClpB chaperone","clpB","ClpB protein","SP_2194","ATP-dependent Clp protease ATP-binding subunit"
"comFC","putative component of the DNA transport apparatus","gntX","protein involved in utilization of DNA as a carbon source","PA0489","phosphoribosyl transferase","SP_2207","competence protein ComF"
"argC","N-acetylglutamate gamma-semialdehyde dehydrogenase","argC","N-acetylglutamylphosphate reductase","argC","N-acetyl-gamma-glutamyl-phosphate reductase",NA,NA
"yusZ","putative short-chain acyl dehydrogenase",NA,NA,"PA1379","short-chain dehydrogenase",NA,NA
"polYA","DNA-damage lesion bypass DNA polymerase","dinB","DNA polymerase IV (Y-family DNA polymerase; translesion DNA synthesis)","dinB","DNA polymerase IV","SP_0458","DNA polymerase IV"
"gapA","glyceraldehyde-3-phosphate dehydrogenase","gapA","glyceraldehyde 3-phosphate dehydrogenase-A monomer","gapA","glyceraldehyde 3-phosphate dehydrogenase","SP_2012","glyceraldehyde-3-phosphate dehydrogenase"
"braB","branched-chain amino acid-Na+ symporter","brnQ","branched chain amino acid transporter BrnQ","braB","branched-chain amino acid transporter",NA,NA
"carB","arginine-specific carbamoyl-phosphate synthetase (large subunit)","carB","","carB","carbamoyl phosphate synthase large subunit","carB","carbamoyl phosphate synthase large subunit"
"ahpF","alkyl hydroperoxide reductase (large subunit)","ahpF","AhpF component","ahpF","alkyl hydroperoxide reductase subunit F",NA,NA
"ylmH","factor involved in shape determination, RNA-binding fold",NA,NA,NA,NA,"SP_1662","orf"
"grpE","nucleotide exchange factor for DnaK activity","grpE","nucleotide exchange factor GrpE","grpE","heat shock protein GrpE","SP_0516","heat shock protein GrpE"
"glcF","glycolate oxidase iron-sulfur subunit","glcF","glycolate oxidase, predicted iron-sulfur subunit","glcF","glycolate oxidase iron-sulfur subunit",NA,NA
"dgcP","putative diguanylate cyclase-related enzyme",NA,NA,"PA5487","orf",NA,NA
"rpsC","ribosomal protein S3 (BS3)","rpsC","30S ribosomal subunit protein S3","rpsC","30S ribosomal protein S3","rpsC","30S ribosomal protein S3"
"ptsH","histidine-containing phosphocarrier protein of the phosphotransferase system (PTS) (HPr protein)",NA,NA,NA,NA,"SP_1177","phosphocarrier protein HPr"
"rluD","pseudouridylate synthase","rluD","23S rRNA pseudouridine synthase","rluD","pseudouridine synthase","SP_0929","ribosomal large subunit pseudouridine synthase D"
"epsL","putative phosphotransferase involved in extracellular matrix synthesis","wcaJ","predicted colanic acid biosynthsis UDP-glucose lipid carrier transferase","pslA","","SP_0350","capsular polysaccharide biosynthesis protein Cps4E"
"deoD","purine nucleoside phosphorylase","deoD","purine nucleoside phosphorylase",NA,NA,"deoD","purine nucleoside phosphorylase"
"rplX","ribosomal protein L24 (BL23)","rplX","50S ribosomal subunit protein L24","rplX","50S ribosomal protein L24","rplX","50S ribosomal protein L24"
"metP","methionine ABC transporter, permease component","metI","L-methionine / D-methionine ABC transporter - membrane subunit","PA5504","D-methionine ABC transporter","SP_0152","ABC transporter permease"
"epsH","putative glycosyltransferase involved in biofilm formation",NA,NA,NA,NA,"SP_1771","glycosyl transferase family protein"
"ywaD","double-zinc aminopeptidase","iap","alkaline phosphatase isozyme conversion protein","PA2939","aminopeptidase",NA,NA
"yozE","conserved hypothetical protein",NA,NA,NA,NA,"SP_0947","orf"
"gdh","glucose 1-dehydrogenase",NA,NA,"PA3128","short-chain dehydrogenase",NA,NA
"ispA","geranyltranstransferase","ispA","geranyl diphosphate synthase / farnesyl diphosphate synthase","ispA","geranyltranstransferase","SP_1205","geranyltranstransferase"
"epsC","putative UDP-sugar epimerase",NA,NA,"wbpM","nucleotide sugar epimerase/dehydratase WbpM","SP_0103","capsular polysaccharide biosynthesis protein"
"dltC","D-alanyl carrier protein",NA,NA,NA,NA,"SP_2174","D-alanine--poly(phosphoribitol) ligase subunit 2"
"mobA","molybdopterin-guanine dinucleotide biosynthesis protein A","mobA","molybdenum cofactor guanylyltransferase",NA,NA,NA,NA
"yqhY","conserved hypothetical protein",NA,NA,NA,NA,"SP_0434","orf"
"trxA","thioredoxin","trxA","oxidized thioredoxin","trxA","thioredoxin","SP_1776","thioredoxin"
"gyrA","DNA gyrase (subunit A)","gyrA","DNA gyrase, subunit A","gyrA","DNA gyrase subunit A","SP_1219","DNA gyrase subunit A"
"moaD","molybdopterin synthase (small subunit)","moaD","MoaD-S",NA,NA,NA,NA
"dtd","D-Tyr-tRNATyr deacylase","dtd","D-Tyr-tRN","PA5079","D-tyrosyl-tRNA(Tyr) deacylase","SP_1644","D-tyrosyl-tRNA(Tyr) deacylase"
"fadR","transcriptional regulator of fatty acids degradation (TetR/AcrR family)",NA,NA,"PA1403","transcriptional regulator",NA,NA
"pdxT","glutamine amidotransferase for pyridoxal phosphate synthesis",NA,NA,NA,NA,"SP_1467","glutamine amidotransferase subunit PdxT"
"yknY","putative ABC transporter (ATP-binding protein)",NA,NA,NA,NA,"SP_0786","ABC transporter ATP-binding protein"
"yoaA","putative N-acetyltransferase",NA,NA,"PA1472","orf","SP_0953","acetyltransferase"
"narK","nitrite extrusion permease","narK","nitrate:nitrite antiporter NarK","narK1","nitrite extrusion protein 1",NA,NA
"yvqK","ATP:cob(I)alamin adenosyltransferase",NA,NA,"PA4399","orf",NA,NA
"yjcK","putative ribosomal-protein-alanine N-acetyltransferase","rimJ","ribosomal-protein-S5-alanine N-acetyltransferase","rimJ","ribosomal protein alanine acetyltransferase",NA,NA
"mrpE","non essential component of Na+/H+ antiporter",NA,NA,"PA1057","monovalent cation/H+ antiporter subunit E",NA,NA
"ydaP","putative enzyme with pyruvate as substrate","poxB","pyruvate oxidase monomer","PA2108","thiamine pyrophosphate protein","SP_0730","pyruvate oxidase"
"yfhF","putative nucleotide binding protein","yfcH","conserved protein with NAD(P)-binding Rossmann-fold domain","PA4656","orf",NA,NA
"gerBB","component of germinant receptor B",NA,NA,"PA3766","aromatic amino acid transporter",NA,NA
"albA","putative antilisterial bacteriocin (subtilosin) production enzyme",NA,NA,"nirJ","heme d1 biosynthesis protein NirJ",NA,NA
"ycdF","putative dehydrogenase","ygfF","predicted NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain",NA,NA,NA,NA
"pgdS","gamma-DL-glutamyl hydrolase (PGA depolymerase)","mepH","murein DD-endopeptidase MepH","PA3472","orf",NA,NA
"ohrB","organic hydroperoxide resistance reductase B",NA,NA,"ohr","organic hydroperoxide resistance protein",NA,NA
"yrzL","conserved hypothetical protein",NA,NA,NA,NA,"SP_0192","orf"
"tenA","thiaminase II",NA,NA,NA,NA,"SP_0722","transcriptional activator TenA"
"gdpP","c-di-AMP phosphodiesterase",NA,NA,NA,NA,"SP_2205","DHH subfamily 1 protein"
"rpmB","ribosomal protein L28","rpmB","50S ribosomal subunit protein L28","rpmB","50S ribosomal protein L28","rpmB","50S ribosomal protein L28"
"dhbA","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","entA","",NA,NA,NA,NA
"nrdE","ribonucleoside-diphosphate reductase (major subunit)","nrdE","","nrdA","ribonucleotide-diphosphate reductase subunit alpha","SP_1179","ribonucleotide-diphosphate reductase subunit alpha"
"thiF","[sulfur-carrier protein ThiS] adenylyltransferase","thiF","ThiS adenylyltransferase",NA,NA,"SP_0695","HesA/MoeB/ThiF family protein"
"recG","branch migrating ATP-dependent DNA helicase involved in DNA recombination and repair","recG","RecG DNA helicase","recG","ATP-dependent DNA helicase RecG","SP_1697","ATP-dependent DNA helicase RecG"
"pepA","leucyl aminopeptidase","pepA","aminopeptidase A/I","pepA","leucyl aminopeptidase",NA,NA
"ynbA","putative GTP-binding protein protease modulator","hflX","GTPase associated with the 50S subunit of the ribosome","PA4943","GTP-binding protein","SP_0672","GTP-binding protein HflX"
"ycgL","conserved hypothetical protein",NA,NA,"PA4584","orf",NA,NA
"ybbF","putative sugar phosphotransferase enzyme II","murP","N-acetylmuramic acid PTS permease - MurP subunit",NA,NA,NA,NA
"asnB","asparagine synthetase","asnB","",NA,NA,NA,NA
"acpA","acyl carrier protein","acpP","trans-","acpP","acyl carrier protein",NA,NA
"gmuR","transcriptional regulator (GntR family)","yidP","predicted DNA-binding transcriptional regulator",NA,NA,"SP_2020","GntR family transcriptional regulator"
"dynA","dynamin-like GTPase",NA,NA,"PA0391","orf",NA,NA
"ycgQ","conserved hypothetical protein",NA,NA,NA,NA,"SP_0904","orf"
"sigW","RNA polymerase ECF(extracytoplasmic function)-type sigma factor W","rpoE","RNA polymerase, sigma 24 (sigma E) factor","algU","RNA polymerase sigma factor AlgU",NA,NA
"thiL","thiamine monophosphate kinase","thiL","thiamin monophosphate kinase","thiL","thiamine monophosphate kinase",NA,NA
"yvcK","gluconeogenesis factor","ybhK","predicted transferase with NAD(P)-binding Rossmann-fold domain",NA,NA,"SP_1565","orf"
"ung","uracil-DNA glycosylase","ung","uracil-DNA glycosylase","ung","uracil-DNA glycosylase","SP_1169","uracil-DNA glycosylase"
"yhjG","putative aromatic compound monooxygenase/hydroxylase","mhpA","3-(3-hydroxyphenyl)propionate 2-hydroxylase","pobA","4-hydroxybenzoate 3-monooxygenase",NA,NA
"yjdI","conserved hypothetical protein","ybaK","Cys-tRN","PA3580","orf","SP_0985","regulatory protein"
"yqjQ","putative metabolite dehydrogenase, NAD-binding","ydfG","3-hydroxy acid dehydrogenase monomer",NA,NA,"SP_0675","short chain dehydrogenase/reductase family oxidoreductase"
"corA","putative CorA-type Mg(2+) transporter","corA","N",NA,NA,NA,NA
"ntdA","3-oxo-glucose-6-phosphate:glutamate aminotransferase",NA,NA,"wbpE","UDP-2-acetamido-2-dideoxy-d-ribo-hex-3-uluronic acid transaminase, wbpE",NA,NA
"flgD","flagellar hook assembly protein","flgD","flagellar biosynthesis, initiation of hook assembly","flgD","flagellar basal body rod modification protein",NA,NA
"pth","peptidyl-tRNA hydrolase","pth","peptidyl-tRNA hydrolase","PA4672","peptidyl-tRNA hydrolase","SP_0005","peptidyl-tRNA hydrolase"
"bipA","GTPase","typA","protein possibly involved in ribosome structure or function","typA","regulatory protein TypA","SP_0681","elongation factor Tu family protein"
"ybxI","exported beta-lactamase",NA,NA,"PA5514","beta-lactamase",NA,NA
"yabN","putative fusion methylase and nucleotide pyrophosphohydrolase","mazG","nucleoside triphosphate pyrophosphohydrolase","PA0935","nucleoside triphosphate pyrophosphohydrolase",NA,NA
"yclM","aspartate kinase III","thrA","",NA,NA,"SP_0413","aspartate kinase"
"rnr","ribonuclease R","rnr","RNase R","rnr","exoribonuclease RNase R","SP_0975","VacB/Rnb family exoribonuclease"
"gabP","gamma-aminobutyrate (GABA) permease","gabP","4-aminobutyrate:","gabP","gamma-aminobutyrate permease",NA,NA
"uvrB","excinuclease ABC (subunit B)","uvrB","DNA repair; excision nuclease subunit B","uvrB","excinuclease ABC subunit B","SP_1238","excinuclease ABC subunit B"
"int","IC","intD","DLP12 prophage; predicted integrase",NA,NA,"SP_1129","phage integrase family integrase/recombinase"
"spsJ","dTDP-glucose 4,6-dehydratase","rffG","dTDP-glucose 4,6-dehydratase 2","rmlB","dTDP-D-glucose 4,6-dehydratase",NA,NA
"cmoI","putative redoxin","grxC","oxidized glutaredoxin 3","grx","glutaredoxin",NA,NA
"mraZ","putative protein involved in cell division or replication","mraZ","conserved protein","PA4421","cell division protein MraZ",NA,NA
"yqkD","putative hydrolase","yfhR","predicted peptidase","PA3695","orf",NA,NA
"mtnD","acireductone dioxygenase (Ni2+ or Fe2+-requiring)",NA,NA,"PA1684","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",NA,NA
"murE","UDP-N-acetylmuramoylalanyl-D-glutamate-2, 6-diaminopimelate ligase","murE","UDP","murE","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase","murE","UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase"
